date,ticker,tradeType,quantity,price,currency,account,fx_krw_per_usd,exposure_currency,asset_class
2026-04-16,000660.KS,매수,3.0,883333.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-16,054950.KQ,매수,71.0,25491.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-16,0046A0.KS,매수,97.0,10396.0,KRW,LS(한나),1.0,USD,채권형
2026-04-16,0046A0.KS,매수,302.0,10160.0,KRW,LS(한나),1.0,USD,채권형
2026-04-16,131970.KQ,매수,19.0,59756.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-16,200670.KQ,매수,51.0,49743.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-16,214150.KQ,매수,9.0,57600.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-16,379800.KS,매수,44.0,23455.0,KRW,LS(한나),1.0,USD,지수형
2026-04-16,379810.KS,매수,41.0,25640.0,KRW,LS(한나),1.0,USD,지수형
2026-04-16,454910.KS,매수,28.0,93900.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-16,459580.KS,매수,5.0,1074958.0,KRW,LS(한나),1.0,KRW,채권형
2026-04-16,464310.KS,매수,65.0,15285.0,KRW,LS(한나),1.0,USD,개별주식
2026-04-16,481180.KS,매수,163.0,12182.0,KRW,LS(한나),1.0,USD,개별주식
2026-04-16,379810.KS,매수,1679.0,15329.0,KRW,키움퇴직,1.0,USD,지수형
2026-04-16,379800.KS,매수,446.0,15800.0,KRW,키움퇴직,1.0,USD,지수형
2026-04-16,245340.KS,매수,283.0,34745.0,KRW,키움퇴직,1.0,USD,지수형
2026-04-16,459580.KS,매수,2.0,1074852.0,KRW,키움퇴직,1.0,KRW,채권형
2026-04-16,0046A0.KS,매수,99.0,10190.0,KRW,키움퇴직,1.0,USD,채권형
2026-04-16,TSLA,매수,44.0,212.62,USD,토스,1365.2,USD,개별주식
2026-04-16,GOOG,매수,37.0,163.82,USD,토스,1376.66,USD,개별주식
2026-04-16,PLTR,매수,26.0,22.33,USD,토스,1368.8,USD,개별주식
2026-04-16,IGV,매수,26.0,79.27,USD,토스,1448.0,USD,개별주식
2026-04-16,SDGR,매수,157.0,19.85,USD,토스,1401.0,USD,개별주식
2026-04-16,BIL,매수,18.0,91.51000213623048,USD,토스,1380.9,USD,채권형
2026-04-16,ISRG,매수,2.0,466.1,USD,토스,1383.6,USD,개별주식
2026-04-16,NVDA,매수,2.0,180.86,USD,토스,1464.5,USD,개별주식
2026-04-16,DUOL,매수,2.0,351.93,USD,토스,1380.4,USD,개별주식
2026-04-16,0046A0.KS,매수,40.0,10190.0,KRW,키움퇴직,1.0,USD,채권형
2026-04-16,NVDA,매수,34.0,23.255,USD,키움(한나),1480.3,USD,개별주식
2026-04-17,200670.KQ,매수,91.0,35600.0,KRW,토스(한나),1.0,KRW,개별주식
2026-04-17,214150.KQ,매수,42.0,58400.0,KRW,토스(한나),1.0,KRW,개별주식
2026-04-17,000660.KS,매수,2.0,887500.0,KRW,토스(한나),1.0,KRW,개별주식
2026-04-17,0046A0.KS,매수,106.0,10185.0,KRW,토스(한나),1.0,USD,채권형
2026-04-17,064290.KQ,매수,35.0,27950.0,KRW,토스(한나),1.0,KRW,개별주식
2026-04-17,BIL,매수,10.0,86.3,USD,토스해외(한나),1478.9100341796875,USD,채권형
2026-04-17,USDKRW,매도,20000.0,1474.05,KRW,USDKRW,1.0,KRW,통화헤지
2026-04-17,360750.KS,매수,3.0,24935.0,KRW,키움퇴직,1.0,USD,개별주식
2026-04-28,DUOL,매도,2.0,104.0,USD,토스,1473.8900146484375,USD,개별주식
2026-04-28,USDKRW,매도,10000.0,1473.6400146484375,KRW,USDKRW,1.0,KRW,통화헤지
2026-04-28,0046A0.KS,매수,9.0,10215.0,KRW,LS(한나),1.0,USD,채권형
2026-04-28,459580.KS,매수,1.0,1075680.0,KRW,LS(한나),1.0,KRW,채권형
2026-04-28,009470,매수,50.0,45650.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-28,481180.KS,매수,50.0,12335.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-28,005380.KS,매수,2.0,555000.0,KRW,LS(한나),1.0,KRW,개별주식
2026-04-21,481180.KS,매수,80.0,12550.0,KRW,토스(한나),1.0,KRW,개별주식
